businessName,officialUrl,selectedImage,sourcePage,candidateCount,usageNote
The Ritz-Carlton St. Thomas,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,https://cache.marriott.com/content/dam/marriott-digital/rz/global-property-shared/en_us/logo/assets/rz_logo_L_W.png,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,2,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Frenchman's Reef,https://www.frenchmansreefstthomas.com/,,https://www.frenchmansreefstthomas.com/,0,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Secret Harbour Beach Resort,https://www.secretharbourvi.com/,,https://www.secretharbourvi.com/,0,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Bolongo Bay Beach Resort,https://www.bolongobay.com/,https://bolongobay.com/wp-content/uploads/2020/07/779845A620C1EEAE7F69CE654362750F-scaled.jpg,https://bolongobay.com/,2,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Bluebeard's Beach Club,https://www.limetree.com/,https://www.limetree.com/wp-content/themes/limert/images/bannerImage.jpg,https://www.limetree.com/,4,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Emerald Beach Resort,https://emeraldbeach.com/,,https://emeraldbeach.com/,0,Could not fetch official image candidate. Keep placeholder until manual review.
Windward Passage Hotel,https://www.windwardpassage.com/,https://www.windwardpassage.com/wp-content/uploads/2025/06/wp-social.jpg,https://www.windwardpassage.com/,5,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Margaritaville Vacation Club St. Thomas,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,https://www.margaritavilleresorts.com/skins/skin-prodmargaritavilleresorts/assets/desktop/images/margaritaville-perks.png,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,6,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Sapphire Beach Resort and Marina,https://www.sapphirebeachresortvi.com/,,https://www.sapphirebeachresortvi.com/,0,Could not fetch official image candidate. Keep placeholder until manual review.
The Westin St. John Resort Villas,https://www.marriott.com/en-us/hotels/sttwi-the-westin-st-john-resort-villas/overview/,,https://www.marriott.com/en-us/hotels/sttwi-the-westin-st-john-resort-villas/overview/,0,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Gallows Point Resort,https://www.gallowspointresort.com/,http://gallowspointresort.com/wp-content/uploads/2025/04/website-logo-color.png,https://gallowspointresort.com/,10,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Estate Lindholm,https://www.estatelindholm.com/,https://img1.wsimg.com/isteam/ip/2e0e1b76-86d3-4c5b-8891-20e147ec3c84/DJI_20251103163951_0219_D.jpg,https://estatelindholm.com/,1,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Coconut Coast Villas,https://www.coconutcoastvillas.com/,,https://www.coconutcoastvillas.com/,0,Could not fetch official image candidate. Keep placeholder until manual review.
Lovango Resort + Beach Club,https://www.lovangovi.com/,https://www.lovangovi.com/wp-content/uploads/2020/11/lovango-resort-and-beach-club-seal.png,https://www.lovangovi.com/,6,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
The Buccaneer Beach & Golf Resort,https://www.thebuccaneer.com/,https://thebuccaneer.com/wp-content/uploads/2025/12/st-croix-resort-the-buccaneer-usvi.jpg,https://thebuccaneer.com/,10,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
King Christian Hotel,https://www.kingchristianhotel.com/,https://www.kingchristianhotel.com/site/assets/files/11158/kingchristianhotel_meredithzimmermanphotography-10.jpg,https://www.kingchristianhotel.com/,10,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Company House Hotel,https://www.companyhousehotel.com/,,https://www.companyhousehotel.com/,0,Could not fetch official image candidate. Keep placeholder until manual review.
Carambola Beach Resort,https://www.carambolabeachresortstcroix.com/,,https://www.carambolabeachresortstcroix.com/,0,Could not fetch official image candidate. Keep placeholder until manual review.
Sand Castle on the Beach,https://sandcastleonthebeach.com/,https://sandcastleonthebeach.com/wp-content/uploads/1920x1080-sandcastleonthebeach-home_sliders-1.jpg,https://sandcastleonthebeach.com/,10,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
Tamarind Reef Resort,https://www.tamarindreefresort.com/,,https://tamarindreef.com/,0,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
McLaughlin Anderson Luxury Villas,https://www.mclaughlinanderson.com/,https://cdn.prod.website-files.com/65e83515799429dd36b8f980/66a19ba62ccc427a4aef55c1_Luxury-Private-Villas_1500x1002_opt.webp,https://www.beautiful-places.com/vacation-homes/virgin-islands/homes-for-rent,5,Official public image candidate. Use provisionally; replace with partner-approved image or remove if business declines.
