businessName,officialUrl,notes
The Ritz-Carlton St. Thomas,https://www.ritzcarlton.com/en/hotels/sttrz-the-ritz-carlton-st-thomas/overview/,Official hotel page; image license review required
Frenchman's Reef,https://www.frenchmansreefstthomas.com/,Official property page; image license review required
Secret Harbour Beach Resort,https://www.secretharbourvi.com/,Official property page; image license review required
Bolongo Bay Beach Resort,https://www.bolongobay.com/,Official property page; image license review required
Emerald Beach Resort,https://emeraldbeach.com/,Official property page; image license review required
Windward Passage Hotel,https://www.windwardpassage.com/,Official property page; image license review required
Margaritaville Vacation Club St. Thomas,https://www.margaritavilleresorts.com/margaritaville-vacation-club-st-thomas,Official property page; image license review required
Sapphire Beach Resort and Marina,https://www.sapphirebeachresortvi.com/,Official property page; image license review required
The Westin St. John Resort Villas,https://www.marriott.com/en-us/hotels/sttwi-the-westin-st-john-resort-villas/overview/,Official hotel page; image license review required
Gallows Point Resort,https://www.gallowspointresort.com/,Official property page; image license review required
Estate Lindholm,https://www.estatelindholm.com/,Official property page; image license review required
Coconut Coast Villas,https://www.coconutcoastvillas.com/,Official property page; image license review required
Lovango Resort + Beach Club,https://www.lovangovi.com/,Official property page; image license review required
The Buccaneer Beach & Golf Resort,https://www.thebuccaneer.com/,Official property page; image license review required
King Christian Hotel,https://www.kingchristianhotel.com/,Official property page; image license review required
Company House Hotel,https://www.companyhousehotel.com/,Official property page; image license review required
Carambola Beach Resort,https://www.carambolabeachresortstcroix.com/,Official property page; image license review required
Sand Castle on the Beach,https://sandcastleonthebeach.com/,Official property page; image license review required
Tamarind Reef Resort,https://www.tamarindreefresort.com/,Official property page; image license review required
McLaughlin Anderson Luxury Villas,https://www.mclaughlinanderson.com/,Villa agency page; image license review required
